DC_POWER,AMBIENT_TEMPERATURE,MODULE_TEMPERATURE,IRRADIATION,HOUR,MINUTE,DAY_OF_WEEK,INVERTER_IDs_1BY6WEcLGh8j5v7,INVERTER_IDs_1IF53ai7Xc0U56Y,INVERTER_IDs_3PZuoBAID5Wc2HD,INVERTER_IDs_7JYdWkrLSPkdwr4,INVERTER_IDs_McdE0feGgRqW7Ca,INVERTER_IDs_VHMLBKoKgIrUVDU,INVERTER_IDs_WRmjgnKYAwPKWDb,INVERTER_IDs_YxYtjZvoooNbGkE,INVERTER_IDs_ZnxXDlPa8U1GXgE,INVERTER_IDs_ZoEaEvLYb1n2sOq,INVERTER_IDs_adLQvlD726eNBSB,INVERTER_IDs_bvBOhCH3iADSZry,INVERTER_IDs_iCRJl6heRkivqQ3,INVERTER_IDs_ih0vzX44oOqAx2f,INVERTER_IDs_pkci93gMrogZuBj,INVERTER_IDs_rGa61gmuvPhdLxV,INVERTER_IDs_sjndEbLyjtCKgGv,INVERTER_IDs_uHbuxQJl8lW7ozc,INVERTER_IDs_wCURE6d3bPkepu2,INVERTER_IDs_z9Y9gH1T5YWrNuG,INVERTER_IDs_zBIq5rxdHJRwDNY,INVERTER_IDs_zVJPv84UY57bAof,PREDICTED_AC,ACTUAL_AC,TIMESTAMP
8478.25,26.907450200000007,42.12864373333333,0.5611673299999999,11,45,3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,829.4438928610004,829.65,2020-06-11 11:45:00
8160.857143,26.907450200000007,42.12864373333333,0.5611673299999999,11,45,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,798.5937142850001,798.7285714,2020-06-11 11:45:00
8327.5,26.907450200000007,42.12864373333333,0.5611673299999999,11,45,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,814.4234999999998,814.975,2020-06-11 11:45:00
8476.857143,26.907450200000007,42.12864373333333,0.5611673299999999,11,45,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,829.3759071380005,829.5285714,2020-06-11 11:45:00
8182.25,26.907450200000007,42.12864373333333,0.5611673299999999,11,45,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,800.33126786,800.8,2020-06-11 11:45:00
8451.125,26.907450200000007,42.12864373333333,0.5611673299999999,11,45,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,826.3452678660008,827.0,2020-06-11 11:45:00
7657.25,26.907450200000007,42.12864373333333,0.5611673299999999,11,45,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,749.4295535810004,749.625,2020-06-11 11:45:00
8361.0,26.907450200000007,42.12864373333333,0.5611673299999999,11,45,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,818.0395178559997,818.2428571,2020-06-11 11:45:00
8209.857143,26.907450200000007,42.12864373333333,0.5611673299999999,11,45,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,802.5926249999998,803.5142857,2020-06-11 11:45:00
8361.625,26.907450200000007,42.12864373333333,0.5611673299999999,11,45,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,818.1723392869997,818.2875,2020-06-11 11:45:00
8498.25,26.907450200000007,42.12864373333333,0.5611673299999999,11,45,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,830.7237142729996,831.575,2020-06-11 11:45:00
9324.285714,27.16000973333333,43.574774533333326,0.6383058133333332,12,0,3,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,911.6617678540003,912.0571429,2020-06-11 12:00:00
9214.857143,27.16000973333333,43.574774533333326,0.6383058133333332,12,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,901.2287142919998,901.4,2020-06-11 12:00:00
9448.0,27.16000973333333,43.574774533333326,0.6383058133333332,12,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,923.7144999950007,924.0714286,2020-06-11 12:00:00
9559.142857,27.16000973333333,43.574774533333326,0.6383058133333332,12,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,934.0905535739995,934.8714286,2020-06-11 12:00:00
9306.0,27.16000973333333,43.574774533333326,0.6383058133333332,12,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,909.576946431,910.2571429,2020-06-11 12:00:00
9306.571429,27.16000973333333,43.574774533333326,0.6383058133333332,12,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,909.6399107169996,910.3142857,2020-06-11 12:00:00
9231.142857,27.16000973333333,43.574774533333326,0.6383058133333332,12,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,902.6368928569999,902.9428571,2020-06-11 12:00:00
9134.571429,27.16000973333333,43.574774533333326,0.6383058133333332,12,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,892.7811249909998,893.5571429,2020-06-11 12:00:00
9241.571429,27.16000973333333,43.574774533333326,0.6383058133333332,12,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,903.6114999929995,903.9571429,2020-06-11 12:00:00
8626.571429,27.16000973333333,43.574774533333326,0.6383058133333332,12,0,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,843.7616011909998,844.1,2020-06-11 12:00:00
9306.142857,27.16000973333333,43.574774533333326,0.6383058133333332,12,0,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,909.6128214309997,910.2428571,2020-06-11 12:00:00
9096.142857,27.16000973333333,43.574774533333326,0.6383058133333332,12,0,3,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,889.6742499950005,889.8285714,2020-06-11 12:00:00
8782.428571,27.16000973333333,43.574774533333326,0.6383058133333332,12,0,3,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,859.1721785690005,859.2714286,2020-06-11 12:00:00
9303.285714,27.16000973333333,43.574774533333326,0.6383058133333332,12,0,3,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,909.5962321459999,909.9571429,2020-06-11 12:00:00
9459.75,27.16000973333333,43.574774533333326,0.6383058133333332,12,0,3,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,924.8103571430003,925.225,2020-06-11 12:00:00
9165.714286,27.16000973333333,43.574774533333326,0.6383058133333332,12,0,3,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,896.3152678560003,896.6142857,2020-06-11 12:00:00
9459.857143,27.16000973333333,43.574774533333326,0.6383058133333332,12,0,3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,924.825232143,925.2285714,2020-06-11 12:00:00
9520.857143,27.16000973333333,43.574774533333326,0.6383058133333332,12,0,3,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,930.6903571349995,931.2,2020-06-11 12:00:00
9390.875,27.16000973333333,43.574774533333326,0.6383058133333332,12,0,3,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,917.7533749980004,918.5125,2020-06-11 12:00:00
9234.142857,27.16000973333333,43.574774533333326,0.6383058133333332,12,0,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,902.914160709,903.2571429,2020-06-11 12:00:00
9466.142857,27.16000973333333,43.574774533333326,0.6383058133333332,12,0,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,925.5033035670001,925.8142857,2020-06-11 12:00:00
9616.142857,27.16000973333333,43.574774533333326,0.6383058133333332,12,0,3,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,939.6524107120005,940.2571429,2020-06-11 12:00:00
8385.375,27.4697428,43.46879073333333,0.6140467053333332,12,15,3,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,820.2666964229994,820.5875,2020-06-11 12:15:00
8737.375,27.4697428,43.46879073333333,0.6140467053333332,12,15,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,854.4694285639998,854.8875,2020-06-11 12:15:00
8812.25,27.4697428,43.46879073333333,0.6140467053333332,12,15,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,861.9501785790002,862.1625,2020-06-11 12:15:00
9101.0,27.4697428,43.46879073333333,0.6140467053333332,12,15,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,889.9941607180008,890.275,2020-06-11 12:15:00
8448.5,27.4697428,43.46879073333333,0.6140467053333332,12,15,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,826.2780892920003,826.75,2020-06-11 12:15:00
8856.375,27.4697428,43.46879073333333,0.6140467053333332,12,15,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,865.9688750000003,866.475,2020-06-11 12:15:00
8633.5,27.4697428,43.46879073333333,0.6140467053333332,12,15,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,844.7775357069996,844.75,2020-06-11 12:15:00
8503.625,27.4697428,43.46879073333333,0.6140467053333332,12,15,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,831.6526071550006,832.125,2020-06-11 12:15:00
8923.25,27.4697428,43.46879073333333,0.6140467053333332,12,15,3,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,872.8938928569996,872.975,2020-06-11 12:15:00
8817.75,27.4697428,43.46879073333333,0.6140467053333332,12,15,3,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,862.6068214140001,862.675,2020-06-11 12:15:00
8701.625,27.4697428,43.46879073333333,0.6140467053333332,12,15,3,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,850.998917855,851.3875,2020-06-11 12:15:00
9476.125,27.4697428,43.46879073333333,0.6140467053333332,12,15,3,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,926.0536071319999,926.7875,2020-06-11 12:15:00
9278.375,27.4697428,43.46879073333333,0.6140467053333332,12,15,3,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,907.3649464269998,907.5375,2020-06-11 12:15:00
8992.0,27.4697428,43.46879073333333,0.6140467053333332,12,15,3,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,879.0240714370004,879.6625,2020-06-11 12:15:00
