DATE_TIME,AMBIENT_TEMPERATURE,IRRADIATION,HOUR,MINUTE,DAY_OF_WEEK,IS_DAYLIGHT,MODULE_TEMPERATURE,DC_POWER,AC_POWER
2025-06-27 16:15:00,31.299999999999997,0.1084375,16,15,4,1,33.25027084350586,1520.384765625,1474.1510009765625
2025-06-27 16:30:00,31.2,0.095625,16,30,4,1,32.73572540283203,1393.4976806640625,1352.755615234375
2025-06-27 16:45:00,31.1,0.0828125,16,45,4,1,32.261348724365234,1208.0284423828125,1177.905517578125
2025-06-27 17:00:00,31.0,0.07,17,0,4,1,32.24256896972656,995.06982421875,962.8701782226562
2025-06-27 17:15:00,30.625,0.0583125,17,15,4,1,30.697175979614258,861.761474609375,850.277587890625
2025-06-27 17:30:00,30.25,0.046625,17,30,4,1,30.1180477142334,683.8565063476562,646.2349853515625
2025-06-27 17:45:00,29.875,0.0349375,17,45,4,1,29.467702865600586,495.97222900390625,496.8968505859375
2025-06-27 18:00:00,29.5,0.02325,18,0,4,1,28.545856475830078,314.2521667480469,295.9732666015625
2025-06-27 18:15:00,29.15,0.0176875,18,15,4,1,27.989585876464844,184.0712127685547,165.11961364746094
2025-06-27 18:30:00,28.8,0.012125,18,30,4,1,27.63518714904785,121.79780578613281,115.68588256835938
2025-06-27 18:45:00,28.450000000000003,0.0065625,18,45,4,1,26.95928192138672,56.80672836303711,63.49198913574219
2025-06-27 19:00:00,28.1,0.001,19,0,4,0,26.529455184936523,3.0348002910614014,0.3573414981365204
2025-06-27 19:15:00,27.875,0.00075,19,15,4,0,26.24839210510254,2.6406328678131104,0.4268006980419159
2025-06-27 19:30:00,27.65,0.0005,19,30,4,0,26.249916076660156,2.6406328678131104,0.2637903690338135
2025-06-27 19:45:00,27.425,0.00025,19,45,4,0,25.910381317138672,2.6406328678131104,0.2637903690338135
2025-06-27 20:00:00,27.2,0.0,20,0,4,0,25.474056243896484,2.598299264907837,0.2637903690338135
2025-06-27 20:15:00,27.0,0.0,20,15,4,0,25.255874633789062,2.233537435531616,0.16043731570243835
2025-06-27 20:30:00,26.799999999999997,0.0,20,30,4,0,24.9677791595459,2.233537435531616,0.16043731570243835
2025-06-27 20:45:00,26.599999999999998,0.0,20,45,4,0,24.80612564086914,2.233537435531616,0.16043731570243835
2025-06-27 21:00:00,26.4,0.0,21,0,4,0,24.52159309387207,2.6277048587799072,0.16043731570243835
2025-06-27 21:15:00,26.25,0.0,21,15,4,0,24.140850067138672,2.233537435531616,0.16043731570243835
2025-06-27 21:30:00,26.1,0.0,21,30,4,0,24.127504348754883,2.233537435531616,0.16043731570243835
2025-06-27 21:45:00,25.95,0.0,21,45,4,0,23.845216751098633,2.051318407058716,0.15671619772911072
2025-06-27 22:00:00,25.8,0.0,22,0,4,0,23.773210525512695,2.445485830307007,0.15671619772911072
2025-06-27 22:15:00,25.7,0.0,22,15,4,0,23.773210525512695,2.051318407058716,0.15671619772911072
2025-06-27 22:30:00,25.6,0.0,22,30,4,0,23.773210525512695,2.051318407058716,0.15671619772911072
2025-06-27 22:45:00,25.5,0.0,22,45,4,0,23.621915817260742,2.051318407058716,0.15671619772911072
2025-06-27 23:00:00,25.4,0.0,23,0,4,0,23.621915817260742,2.445485830307007,0.15671619772911072
2025-06-27 23:15:00,25.299999999999997,0.0,23,15,4,0,23.621915817260742,2.051318407058716,0.15671619772911072
2025-06-27 23:30:00,25.2,0.0,23,30,4,0,23.621915817260742,2.051318407058716,0.15671619772911072
2025-06-27 23:45:00,25.1,0.0,23,45,4,0,23.168495178222656,1.6143720149993896,0.12781170010566711
2025-06-28 00:00:00,25.0,0.0,0,0,5,0,23.181180953979492,0.45565512776374817,0.12781170010566711
2025-06-28 00:15:00,24.95,0.0,0,15,5,0,23.078441619873047,0.8367596864700317,0.12781170010566711
2025-06-28 00:30:00,24.9,0.0,0,30,5,0,23.078441619873047,0.8367596864700317,0.12781170010566711
2025-06-28 00:45:00,24.85,0.0,0,45,5,0,23.078441619873047,0.8367596864700317,0.12781170010566711
2025-06-28 01:00:00,24.8,0.0,1,0,5,0,22.59493637084961,0.45565512776374817,0.12781170010566711
2025-06-28 01:15:00,24.75,0.0,1,15,5,0,22.5319881439209,0.8367596864700317,0.12781170010566711
2025-06-28 01:30:00,24.700000000000003,0.0,1,30,5,0,22.556474685668945,0.8367596864700317,0.12781170010566711
2025-06-28 01:45:00,24.650000000000002,0.0,1,45,5,0,22.646484375,0.8367596864700317,0.12781170010566711
2025-06-28 02:00:00,24.6,0.0,2,0,5,0,22.591659545898438,0.45565512776374817,0.12781170010566711
2025-06-28 02:15:00,24.575000000000003,6.25e-05,2,15,5,0,22.648181915283203,0.8367596864700317,0.12781170010566711
2025-06-28 02:30:00,24.55,0.000125,2,30,5,0,23.00062370300293,0.8367596864700317,0.12781170010566711
2025-06-28 02:45:00,24.525,0.0001875,2,45,5,0,23.022432327270508,0.8367596864700317,0.12781170010566711
2025-06-28 03:00:00,24.5,0.00025,3,0,5,0,23.022432327270508,0.45565512776374817,0.12781170010566711
2025-06-28 03:15:00,24.4,0.0001875,3,15,5,0,23.022432327270508,0.8367596864700317,0.12781170010566711
2025-06-28 03:30:00,24.3,0.000125,3,30,5,0,22.622169494628906,0.8367596864700317,0.12781170010566711
2025-06-28 03:45:00,24.200000000000003,6.25e-05,3,45,5,0,22.15882110595703,0.8367596864700317,0.12781170010566711
2025-06-28 04:00:00,24.1,0.0,4,0,5,0,21.956689834594727,0.45565512776374817,0.12781170010566711
2025-06-28 04:15:00,24.05,0.0,4,15,5,0,21.956689834594727,0.8367596864700317,0.12781170010566711
2025-06-28 04:30:00,24.0,0.0,4,30,5,0,21.854097366333008,0.8367596864700317,0.12781170010566711
2025-06-28 04:45:00,23.95,0.0,4,45,5,0,21.854097366333008,0.8367596864700317,0.12781170010566711
